Node,PR
C0085682,7.84E-06
C0085692,2.53E-05
C0085694,1.18E-05
C0085695,1.04E-05
C0085702,6.07E-06
C0085704,4.30E-05
C0085732,0.000178471
C0085740,5.56E-06
C0085741,8.43E-06
C0085742,1.70E-05
C0085748,5.70E-06
C0085751,3.06E-05
C0085752,1.34E-05
C0085756,0.000129233
C0085762,7.62E-06
C0085786,2.35E-05
C0085795,1.17E-05
C0085801,5.98E-06
C0085805,1.42E-05
C0085808,1.33E-05
C0085820,3.20E-05
C0085826,7.58E-05
C0085828,5.76E-05
C0085842,8.03E-06
C0085845,1.75E-05
C0085846,5.86E-06
C0085853,2.28E-05
C0085860,5.74E-06
C0085872,7.49E-06
C0085873,1.57E-05
C0085880,9.99E-06
C0085883,2.32E-05
C0085925,2.54E-05
C0085933,7.83E-06
C0085936,1.04E-05
C0085940,5.77E-06
C0085957,2.61E-05
C0085966,7.99E-06
C0085973,1.71E-05
C0085979,8.35E-05
C0085983,1.19E-05
C0085990,2.48E-05
C0086008,5.92E-06
C0086027,1.45E-05
C0086032,5.62E-06
C0086034,5.45E-06
C0086045,1.84E-05
C0086059,5.43E-06
C0086073,1.49E-05
C0086109,1.01E-05
C0086120,1.85E-05
C0086123,1.13E-05
C0086132,0.000184995
C0086133,2.48E-05
C0086140,1.87E-05
C0086143,0.000168974
C0086152,1.28E-05
C0086153,4.85E-05
C0086168,5.62E-05
C0086180,5.47E-06
C0086190,1.21E-05
C0086194,2.48E-05
C0086195,6.81E-06
C0086196,5.47E-06
C0086206,9.44E-06
C0086208,7.34E-06
C0086209,1.80E-05
C0086215,5.58E-06
C0086225,2.21E-05
C0086227,5.57E-06
C0086231,8.72E-05
C0086244,1.63E-05
C0086246,8.35E-06
C0086252,2.82E-05
C0086267,7.25E-06
C0086279,2.43E-05
C0086282,0.000167142
C0086287,5.36E-05
C0086300,6.28E-06
C0086305,1.22E-05
C0086312,1.98E-05
C0086313,6.17E-06
C0086325,5.40E-06
C0086330,1.49E-05
C0086335,6.36E-06
C0086344,2.73E-05
C0086367,7.65E-06
C0086369,1.53E-05
C0086376,8.30E-05
C0086384,2.43E-05
C0086390,2.52E-05
C0086409,9.32E-05
C0086413,3.41E-05
C0086418,0.003586135
C0086427,9.94E-06
C0086437,6.36E-06
C0086438,1.68E-05
C0086439,2.45E-05
C0086440,1.08E-05
C0086459,5.62E-06
C0086492,9.82E-06
C0086510,7.84E-06
C0086511,6.13E-05
C0086519,1.01E-05
C0086523,9.03E-06
C0086525,6.39E-06
C0086528,3.39E-05
C0086529,7.60E-06
C0086530,1.50E-05
C0086540,6.36E-06
C0086543,2.78E-05
C0086565,3.57E-05
C0086571,1.48E-05
C0086574,4.11E-05
C0086582,0.000156425
C0086584,1.41E-05
C0086586,1.48E-05
C0086597,1.10E-05
C0086610,1.41E-05
C0086625,6.24E-06
C0086628,5.67E-06
C0086645,6.15E-06
C0086652,2.48E-05
C0086658,5.61E-06
C0086661,3.73E-05
C0086685,1.35E-05
C0086692,3.85E-05
C0086706,5.59E-06
C0086707,6.50E-06
C0086709,6.07E-06
C0086715,1.05E-05
C0086749,8.60E-06
C0086750,5.73E-06
C0086751,1.61E-05
C0086767,5.67E-06
C0086769,1.38E-05
C0086774,9.28E-06
C0086776,0.000103692
C0086795,8.26E-06
C0086816,5.61E-06
C0086818,1.41E-05
C0086820,7.57E-06
C0086825,2.10E-05
C0086858,1.68E-05
C0086860,0.000119789
C0086873,8.17E-06
C0086890,0.00013084
C0086893,1.75E-05
C0086898,5.81E-06
C0086907,2.90E-05
C0086908,1.95E-05
C0086911,1.56E-05
C0086912,1.53E-05
C0086914,6.25E-06
C0086915,1.38E-05
C0086918,5.64E-06
C0086930,7.87E-05
C0086931,1.67E-05
C0086934,1.00E-05
C0086943,1.11E-05
C0086944,5.61E-05
C0086949,6.35E-06
C0086965,2.02E-05
C0086966,5.65E-06
C0086969,3.75E-05
C0086971,9.54E-06
C0086972,5.69E-06
C0086982,0.000230303
C0087009,0.000104223
C0087028,5.88E-06
C0087031,8.03E-06
C0087032,5.48E-06
C0087044,0.000167303
C0087049,1.29E-05
C0087071,5.56E-06
C0087081,8.90E-06
C0087086,0.000279514
C0087111,0.001172431
C0087113,8.91E-06
C0087114,1.73E-05
C0087123,6.77E-06
C0087124,5.85E-06
C0087130,0.000225073
C0087134,1.35E-05
C0087135,6.36E-06
C0087136,1.21E-05
C0087138,7.36E-06
C0087153,8.34E-05
C0087163,1.40E-05
C0087165,6.36E-06
C0087169,5.85E-06
C0087172,1.03E-05
C0087870,1.37E-05
C0088321,7.31E-06
C0088341,7.44E-06
C0088359,4.06E-05
C0089067,5.85E-06
C0089266,5.61E-06
C0089267,6.07E-06
C0089793,3.06E-05
C0089795,8.05E-06
C0090388,2.13E-05
C0090425,5.73E-06
C0092764,2.48E-05
C0092801,1.03E-05
C0096069,1.40E-05
C0096872,2.48E-05
C0097101,5.52E-06
C0097122,5.60E-06
C0097797,6.37E-06
C0098148,5.56E-06
C0099085,1.02E-05
C0099513,5.85E-06
C0100261,1.91E-05
C0100627,5.60E-06
C0100672,1.04E-05
C0100724,1.66E-05
C0100804,3.17E-05
C0100994,7.68E-06
C0101303,1.20E-05
C0101379,1.33E-05
C0101389,9.62E-06
C0101583,5.38E-06
C0101725,1.40E-05
C0102118,1.34E-05
C0102137,2.31E-05
C0102561,5.60E-06
C0102697,9.62E-06
C0102793,7.49E-06
C0103045,2.48E-05
C0103071,6.79E-06
C0103073,1.08E-05
C0103202,5.76E-06
C0103306,8.19E-05
C0103396,5.55E-06
C0103403,1.89E-05
C0103404,2.96E-05
C0103575,5.69E-06
C0103647,1.75E-05
C0104013,1.47E-05
C0104230,7.20E-06
C0104398,9.39E-06
C0104737,5.70E-06
C0104746,5.72E-06
C0105185,2.97E-05
C0105753,5.70E-06
C0105770,8.40E-05
C0106006,1.05E-05
C0106127,1.92E-05
C0106453,5.76E-06
C0106555,9.96E-06
C0106556,8.10E-06
C0106893,6.66E-06
C0106964,5.98E-06
C0107053,1.80E-05
C0107103,4.22E-05
C0107264,5.63E-06
C0107994,6.36E-06
C0108066,9.38E-06
C0108082,5.72E-05
C0108141,7.54E-06
C0108171,6.06E-06
C0108178,6.79E-06
C0108187,1.40E-05
C0108225,1.34E-05
C0108263,9.65E-06
C0108282,5.69E-06
C0108401,7.47E-06
C0108434,1.09E-05
C0108453,7.74E-06
C0108554,1.39E-05
C0108555,2.18E-05
C0108747,7.06E-06
C0108748,1.43E-05
C0108793,9.90E-06
C0108796,5.47E-06
C0108797,7.52E-06
C0108801,4.83E-05
C0108855,9.07E-06
C0108939,1.39E-05
C0108969,6.61E-06
C0109271,5.78E-06
C0109272,1.17E-05
C0109329,1.83E-05
C0109497,2.48E-05
C0109710,5.60E-06
C0110116,5.75E-06
C0110610,2.06E-05
C0110611,2.24E-05
C0110613,4.50E-05
C0111197,1.16E-05
C0111208,2.71E-05
C0111429,1.83E-05
C0111840,5.62E-06
C0111890,1.11E-05
C0113089,9.95E-06
C0113211,5.51E-06
C0113293,0.000131642
C0114217,1.52E-05
C0114832,1.16E-05
C0114838,2.81E-05
C0114873,5.55E-06
C0114967,5.48E-06
C0115305,2.52E-05
C0115471,1.00E-05
C0115922,9.66E-06
C0116397,6.30E-06
C0116555,7.78E-06
C0116569,1.60E-05
C0116591,2.48E-05
C0117059,1.18E-05
C0117151,5.65E-06
C0117738,5.93E-06
C0117996,2.97E-05
C0118022,2.42E-05
C0118036,6.60E-06
C0118522,0.000119228
C0118891,7.65E-06
C0119053,1.36E-05
C0119082,9.81E-06
C0119093,1.85E-05
C0119192,7.37E-06
C0119432,5.71E-06
C0119452,1.86E-05
C0120285,0.000127028
C0120447,1.42E-05
C0120465,1.61E-05
C0120742,5.66E-06
C0121453,5.70E-06
C0121459,5.56E-06
C0121463,2.71E-05
C0121772,2.02E-05
C0121925,5.63E-06
C0122005,9.51E-06
C0122013,1.36E-05
C0122040,5.40E-06
C0122208,5.66E-06
C0122577,1.90E-05
C0122626,6.36E-06
C0122734,1.10E-05
C0122922,1.50E-05
C0122932,7.38E-06
C0123047,2.02E-05
C0123091,1.22E-05
C0123242,6.17E-06
C0123259,7.80E-06
C0123263,2.46E-05
C0123538,1.90E-05
C0123707,1.24E-05
C0123745,5.72E-06
C0123759,0.000127085
C0123771,1.63E-05
C0123780,1.17E-05
C0123931,5.69E-06
C0123987,5.73E-06
C0124209,6.24E-06
C0124235,2.49E-05
C0124869,5.47E-06
C0125090,9.18E-06
C0125258,6.01E-06
C0125271,5.79E-06
C0125440,1.02E-05
C0125606,1.28E-05
C0125619,9.84E-06
C0125656,7.83E-06
C0125821,1.11E-05
C0125946,1.34E-05
C0126174,2.93E-05
C0126378,8.63E-06
C0126732,4.99E-05
C0126791,7.37E-06
C0126900,1.27E-05
C0127023,5.74E-06
C0127082,1.46E-05
C0127306,2.48E-05
C0127400,8.08E-06
C0127612,1.11E-05
C0127615,2.07E-05
C0128062,5.38E-06
C0128329,1.18E-05
C0128513,2.02E-05
C0128546,4.68E-05
C0128608,7.41E-06
C0128634,1.01E-05
C0128818,1.04E-05
C0128897,6.71E-05
C0128915,6.94E-06
C0129975,3.35E-05
C0130137,1.32E-05
C0130296,5.82E-06
C0131373,5.69E-06
C0132132,5.62E-06
C0132260,2.13E-05
C0132298,9.81E-06
C0132309,5.40E-06
C0132326,7.67E-06
C0132348,1.80E-05
C0132515,1.44E-05
C0132555,3.19E-05
C0132768,1.06E-05
C0132800,8.07E-06
C0133553,5.77E-06
C0133819,7.46E-06
C0133821,7.59E-06
C0133930,5.84E-06
C0133937,7.69E-06
C0133938,5.52E-06
C0134006,6.20E-06
C0134026,5.45E-06
C0134337,5.69E-06
C0134835,2.72E-05
C0134982,9.74E-06
C0134983,5.56E-06
C0134992,5.69E-06
C0135118,6.32E-06
C0135262,6.22E-06
C0135575,1.54E-05
C0135710,1.60E-05
C0136026,5.58E-06
C0136072,7.60E-06
C0136073,4.06E-05
C0136157,2.53E-05
C0136463,9.80E-06
C0136864,1.07E-05
C0136960,4.40E-05
C0137706,5.54E-06
C0137714,9.16E-06
C0137723,5.96E-06
C0137734,7.82E-06
C0137872,1.35E-05
C0137988,6.64E-06
C0138045,5.61E-06
C0138186,7.37E-06
C0138404,7.78E-06
C0138514,9.58E-06
C0138515,6.61E-06
C0138547,5.66E-06
C0138666,2.48E-05
C0138726,5.76E-06
C0138741,5.81E-06
C0138975,7.11E-06
C0139026,7.49E-06
C0139030,5.77E-06
C0139360,1.89E-05
C0139551,5.66E-06
C0139597,7.62E-06
C0139801,5.45E-06
C0139905,1.04E-05
C0139916,5.60E-06
C0140057,1.46E-05
C0140080,1.33E-05
C0140096,5.81E-06
C0140145,1.17E-05
C0140278,5.62E-06
C0140283,2.26E-05
C0140430,9.53E-06
C0140512,7.47E-06
C0140513,1.15E-05
C0140575,7.44E-06
C0140599,5.65E-06
C0140805,5.80E-06
C0140851,5.55E-06
C0140853,5.64E-06
C0140854,5.70E-06
C0141224,6.20E-06
C0141611,5.53E-06
C0141729,1.03E-05
C0141947,7.47E-06
C0142251,9.44E-06
C0142281,1.04E-05
C0142292,1.97E-05
C0142580,2.29E-05
C0142785,5.66E-06
C0142791,8.79E-06
C0142812,1.11E-05
C0142822,6.35E-06
C0142825,6.15E-06
C0142846,5.68E-06
C0142874,5.80E-06
C0142906,9.80E-06
C0142956,9.56E-06
C0142963,6.02E-06
C0143087,2.48E-05
C0143094,6.27E-06
C0143146,2.21E-05
C0143595,7.67E-06
C0143993,1.89E-05
C0144112,7.69E-06
C0144576,4.06E-05
C0145055,6.22E-06
C0145106,2.23E-05
C0145185,1.15E-05
C0145330,2.48E-05
C0145334,1.64E-05
C0145627,5.82E-06
C0145745,9.63E-06
C0145779,2.52E-05
C0145918,7.89E-06
C0145943,2.33E-05
C0145947,1.15E-05
C0145993,6.24E-06
C0146116,5.78E-06
C0146177,1.09E-05
C0146196,1.98E-05
C0146495,7.32E-06
C0146544,5.70E-06
C0146894,2.64E-05
C0146898,6.09E-06
C0146951,2.18E-05
C0147080,1.01E-05
C0147139,9.41E-06
C0147238,7.55E-06
C0148199,1.19E-05
C0148323,1.76E-05
C0148340,6.10E-06
C0148405,1.58E-05
C0148584,7.33E-06
C0148873,6.70E-06
C0148970,1.47E-05
C0149368,5.51E-06
C0149381,6.29E-06
C0149504,1.04E-05
C0149505,6.36E-06
C0149507,1.18E-05
C0149512,2.48E-05
C0149514,5.25E-05
C0149516,5.49E-05
C0149518,5.76E-06
C0149520,4.68E-05
C0149521,4.86E-05
C0149530,9.47E-06
C0149531,9.55E-06
C0149533,1.36E-05
C0149543,2.97E-05
C0149554,1.32E-05
C0149556,5.64E-06
C0149561,1.67E-05
C0149563,6.24E-06
C0149566,2.13E-05
C0149589,6.08E-06
C0149603,2.48E-05
C0149610,7.51E-06
C0149614,1.82E-05
C0149615,2.31E-05
C0149630,1.08E-05
C0149645,1.03E-05
C0149663,7.02E-05
C0149670,5.47E-06
C0149674,5.58E-06
C0149676,8.95E-06
C0149678,3.63E-05
C0149692,9.85E-06
C0149697,6.55E-06
C0149700,1.03E-05
C0149701,5.89E-06
C0149704,5.73E-06
C0149708,5.67E-06
C0149721,2.61E-05
C0149722,1.07E-05
C0149725,0.000226711
C0149726,9.57E-06
C0149732,1.01E-05
C0149736,5.85E-06
C0149741,1.41E-05
C0149744,1.43E-05
C0149745,5.49E-06
C0149750,2.02E-05
C0149754,5.75E-06
C0149756,6.12E-06
C0149761,5.42E-06
C0149771,1.21E-05
C0149775,2.19E-05
C0149777,6.04E-06
C0149778,2.60E-05
C0149779,1.73E-05
C0149781,4.63E-05
C0149782,1.07E-05
C0149783,0.000111203
C0149784,0.000126667
C0149793,5.41E-06
C0149801,7.61E-06
C0149810,5.82E-06
C0149825,7.92E-06
C0149846,7.17E-06
C0149854,1.47E-05
C0149863,1.06E-05
C0149871,0.000187611
C0149875,6.12E-05
C0149878,5.61E-06
C0149880,9.49E-06
C0149881,6.36E-06
C0149889,1.43E-05
C0149893,5.75E-06
C0149896,8.11E-06
C0149904,7.65E-06
C0149925,2.44E-05
C0149931,8.29E-05
C0149939,9.46E-06
C0149952,5.69E-06
C0149955,1.23E-05
C0149958,6.36E-06
C0149978,2.96E-05
C0149985,1.08E-05
C0149992,2.02E-05
C0150034,1.79E-05
C0150035,5.82E-06
C0150037,5.74E-06
C0150041,9.03E-06
C0150055,0.00013978
C0150063,5.68E-06
C0150075,7.31E-06
C0150088,6.36E-06
C0150093,6.30E-05
C0150094,8.26E-06
C0150095,2.75E-05
C0150097,2.42E-05
C0150099,6.12E-06
C0150101,5.85E-06
C0150103,3.05E-05
C0150105,1.94E-05
C0150108,1.24E-05
C0150126,7.54E-05
C0150134,5.82E-06
C0150135,1.10E-05
C0150141,1.20E-05
C0150157,5.47E-06
C0150158,5.60E-06
C0150169,5.67E-06
C0150174,5.64E-06
C0150177,5.81E-06
C0150184,5.69E-06
C0150186,5.53E-06
C0150189,5.99E-06
C0150191,1.49E-05
C0150211,9.47E-06
C0150223,5.68E-06
C0150232,1.69E-05
C0150234,1.22E-05
C0150238,3.09E-05
C0150252,5.47E-06
C0150258,5.55E-06
C0150259,5.65E-06
C0150260,1.39E-05
C0150269,2.76E-05
C0150270,7.88E-05
C0150277,7.38E-06
C0150305,1.36E-05
C0150310,1.15E-05
C0150312,0.001495943
C0150315,7.77E-06
C0150323,5.67E-06
C0150355,1.17E-05
C0150358,5.68E-06
C0150359,5.82E-06
C0150383,5.85E-06
C0150390,1.43E-05
C0150411,1.22E-05
C0150413,2.43E-05
C0150444,7.22E-06
C0150457,3.06E-05
C0150479,5.36E-06
C0150496,9.61E-06
C0150499,2.66E-05
C0150518,5.78E-06
C0150544,9.26E-06
C0150562,1.67E-05
C0150583,6.36E-06
C0150589,5.86E-06
C0150593,2.76E-05
C0150595,9.96E-06
C0150598,9.18E-06
C0150600,0.000112068
C0150618,8.08E-06
C0150627,5.53E-06
C0150632,5.75E-06
C0150637,4.04E-05
C0150638,9.94E-06
C0150646,5.64E-06
C0150685,1.83E-05
C0150694,6.36E-06
C0150706,2.84E-05
C0150755,2.06E-05
C0150763,5.44E-06
C0150767,1.48E-05
C0150768,1.21E-05
C0150773,1.79E-05
C0150775,0.000535477
C0150788,1.48E-05
C0150789,2.15E-05
C0150831,7.27E-06
C0150866,6.67E-05
C0150872,3.25E-05
C0150904,5.74E-05
C0150905,6.25E-05
C0150936,9.30E-06
C0151190,5.72E-06
C0151241,1.04E-05
C0151268,5.95E-06
C0151281,5.74E-06
C0151293,1.21E-05
C0151295,1.38E-05
C0151311,1.87E-05
C0151313,1.41E-05
C0151317,0.000166145
C0151436,2.28E-05
C0151448,6.34E-06
C0151449,2.54E-05
C0151450,5.44E-06
C0151451,5.88E-06
C0151467,7.24E-06
C0151468,5.73E-06
C0151489,5.83E-06
C0151505,6.36E-06
C0151517,2.53E-05
C0151521,2.50E-05
C0151526,0.000135789
C0151546,9.34E-06
C0151565,7.63E-06
C0151578,8.82E-06
C0151582,5.42E-06
C0151585,7.47E-06
C0151594,2.72E-05
C0151598,7.20E-06
C0151602,1.05E-05
C0151603,1.89E-05
C0151613,1.16E-05
C0151620,6.36E-06
C0151624,1.47E-05
C0151632,8.37E-06
C0151636,1.20E-05
C0151647,6.44E-06
C0151648,7.64E-06
C0151650,2.90E-05
C0151654,1.99E-05
C0151664,1.22E-05
C0151671,1.24E-05
C0151683,2.20E-05
C0151684,7.42E-06
C0151686,3.03E-05
C0151691,7.98E-06
C0151692,6.36E-06
C0151693,9.63E-06
C0151699,0.00011612
C0151701,4.09E-05
C0151705,1.63E-05
C0151718,2.59E-05
C0151721,6.00E-06
C0151735,5.74E-06
C0151736,1.86E-05
C0151737,5.85E-06
C0151739,5.70E-06
C0151740,2.48E-05
C0151744,9.10E-06
C0151746,3.95E-05
C0151747,5.49E-06
C0151753,5.45E-06
C0151754,1.59E-05
C0151763,0.000105254
C0151766,1.01E-05
C0151779,1.59E-05
C0151785,1.72E-05
C0151786,1.99E-05
C0151788,5.61E-06
C0151798,1.49E-05
C0151799,5.61E-06
C0151811,8.70E-06
C0151814,2.77E-05
C0151815,8.46E-06
C0151821,5.92E-06
C0151824,8.28E-06
C0151826,7.69E-06
C0151827,1.16E-05
C0151844,6.36E-06
C0151849,7.74E-06
C0151854,5.46E-06
C0151857,2.85E-05
C0151859,9.13E-06
C0151864,5.76E-06
C0151872,1.01E-05
C0151878,5.57E-05
C0151882,1.24E-05
C0151888,5.96E-06
C0151889,6.13E-06
C0151904,5.50E-06
C0151905,9.11E-06
C0151908,9.42E-06
C0151934,2.12E-05
C0151936,2.90E-05
C0151942,4.10E-05
C0151945,4.07E-05
C0151946,2.03E-05
C0151947,7.29E-06
C0151950,1.48E-05
C0151955,5.48E-06
C0151956,5.82E-06
C0151971,6.36E-06
C0151994,1.22E-05
C0152002,6.36E-06
C0152009,5.74E-06
C0152013,8.36E-06
C0152014,7.13E-06
C0152018,1.41E-05
C0152020,4.70E-05
C0152021,4.46E-05
C0152025,1.74E-05
C0152026,1.37E-05
C0152027,5.55E-06
C0152030,6.02E-06
C0152031,8.26E-06
C0152032,4.81E-05
C0152035,1.62E-05
C0152036,1.44E-05
C0152054,3.61E-05
C0152060,0.000254624
C0152066,5.86E-06
C0152069,5.70E-06
C0152078,5.71E-06
C0152081,5.57E-06
C0152088,7.90E-06
C0152093,5.62E-06
C0152101,1.62E-05
C0152107,1.16E-05
C0152110,9.18E-06
C0152116,1.77E-05
C0152128,6.36E-06
C0152132,8.17E-06
C0152134,5.90E-06
C0152150,1.73E-05
C0152154,5.55E-06
C0152158,5.52E-06
C0152164,5.60E-06
C0152169,2.32E-05
C0152171,1.19E-05
C0152177,6.36E-06
C0152191,6.36E-06
C0152198,5.46E-06
C0152227,9.38E-06
C0152231,5.74E-06
C0152244,1.15E-05
C0152245,6.36E-06
C0152251,8.64E-06
C0152254,4.38E-05
C0152277,2.73E-05
C0152279,8.66E-06
C0152298,2.48E-05
C0152306,7.33E-06
C0152320,5.64E-06
C0152349,6.08E-06
C0152362,9.84E-06
C0152381,5.70E-06
C0152388,5.86E-06
C0152413,6.24E-06
C0152415,1.04E-05
C0152423,6.36E-06
C0152424,1.27E-05
C0152438,6.36E-06
C0152451,8.19E-06
C0152461,5.78E-06
C0152463,1.80E-05
C0152497,9.76E-06
C0152517,4.96E-05
C0152545,5.69E-06
C0152586,7.32E-06
C0152915,1.52E-05
C0152936,1.12E-05
C0152937,8.63E-06
C0152964,1.83E-05
C0152966,9.70E-06
C0153017,7.45E-06
C0153049,6.15E-06
C0153062,1.81E-05
C0153064,5.67E-06
C0153113,5.85E-06
C0153252,2.42E-05
C0153329,6.36E-06
C0153349,7.64E-06
C0153364,6.04E-06
C0153381,4.57E-05
C0153382,1.25E-05
C0153392,9.39E-06
C0153398,1.12E-05
C0153426,5.59E-06
C0153436,2.01E-05
C0153440,6.36E-06
C0153446,1.23E-05
C0153452,1.41E-05
C0153467,6.36E-06
C0153470,9.36E-06
C0153494,8.10E-06
C0153504,5.72E-06
C0153567,1.05E-05
C0153594,9.17E-06
C0153601,2.28E-05
C0153633,5.60E-06
C0153658,5.85E-06
C0153661,1.02E-05
C0153662,1.33E-05
C0153676,6.35E-05
C0153677,5.90E-06
C0153687,7.67E-06
C0153690,5.25E-05
C0153792,1.01E-05
C0153943,8.42E-06
C0153993,5.90E-06
C0153999,5.95E-06
C0154038,6.03E-06
C0154040,8.32E-06
C0154050,6.05E-06
C0154129,8.02E-06
C0154157,5.51E-06
C0154199,7.98E-06
C0154251,1.45E-05
C0154298,7.25E-06
C0154307,5.75E-06
C0154409,8.01E-06
C0154575,9.36E-06
C0154652,9.72E-06
C0154671,9.16E-06
C0154676,5.82E-06
C0154733,6.90E-06
C0154769,7.59E-06
C0154778,8.63E-06
C0154830,1.46E-05
C0154933,7.86E-06
C0154946,9.47E-06
C0155002,5.88E-06
C0155003,7.64E-06
C0155016,6.36E-06
C0155078,8.49E-06
C0155111,2.48E-05
C0155116,5.51E-06
C0155141,1.49E-05
C0155143,7.00E-06
C0155144,6.36E-06
C0155163,5.53E-06
C0155191,6.36E-06
C0155201,6.36E-06
C0155237,5.47E-06
C0155247,2.48E-05
C0155305,6.36E-06
C0155395,2.62E-05
C0155490,1.01E-05
C0155502,1.55E-05
C0155540,1.53E-05
C0155601,7.51E-06
C0155616,8.48E-06
C0155626,0.000123126
C0155668,7.41E-06
C0155672,1.17E-05
C0155675,1.03E-05
C0155685,1.09E-05
C0155686,4.84E-05
C0155689,8.06E-06
C0155700,5.85E-06
C0155709,1.49E-05
C0155733,9.53E-06
C0155742,8.50E-06
C0155765,5.03E-05
C0155773,4.18E-05
C0155789,1.15E-05
C0155795,6.36E-06
C0155804,7.58E-06
C0155829,7.56E-06
C0155842,1.43E-05
C0155862,1.39E-05
C0155866,6.36E-06
C0155870,9.61E-06
C0155872,5.52E-06
C0155877,3.76E-05
C0155880,6.36E-06
C0155891,5.64E-06
C0155907,6.36E-06
C0155919,1.89E-05
C0155940,9.68E-06
C0156147,1.42E-05
C0156149,2.17E-05
C0156156,7.82E-06
C0156181,6.19E-06
C0156183,6.36E-06
C0156215,7.28E-06
C0156221,5.48E-06
C0156247,5.68E-06
C0156270,5.70E-06
C0156272,6.68E-06
C0156312,5.85E-06
C0156339,5.63E-06
C0156347,1.00E-05
C0156353,1.37E-05
C0156354,5.90E-06
C0156369,8.04E-06
C0156543,1.37E-05
C0157705,5.91E-06
C0157749,8.42E-05
C0158026,2.48E-05
C0158248,5.69E-06
C0158266,2.19E-05
C0158288,8.43E-06
C0158300,7.37E-06
C0158328,1.11E-05
C0158353,1.09E-05
C0158371,6.34E-06
C0158473,5.52E-06
C0158570,2.22E-05
C0158623,1.63E-05
C0158638,6.36E-06
C0158641,7.60E-06
C0158644,5.48E-05
C0158646,5.69E-06
C0158683,6.36E-06
C0158731,5.68E-06
C0158944,1.16E-05
C0158945,5.53E-06
C0158947,8.02E-06
C0159020,8.09E-06
C0159028,9.97E-06
C0159075,6.36E-06
C0159658,6.36E-06
C0159849,5.64E-06
C0159877,1.72E-05
C0160390,2.35E-05
C0160420,3.56E-05
C0160680,1.63E-05
C0161008,5.74E-06
C0161398,7.80E-06
C0161479,2.93E-05
C0161504,5.50E-06
C0161680,6.36E-06
C0161815,7.20E-06
C0161816,0.000101764
C0161818,9.10E-05
C0161819,1.94E-05
C0161820,5.73E-06
C0161856,1.62E-05
C0161899,4.38E-05
C0161906,5.77E-06
C0161912,6.36E-06
C0161922,7.18E-06
C0161924,5.77E-06
C0161955,6.36E-06
C0161959,5.74E-06
C0162119,7.29E-06
C0162209,5.54E-06
C0162275,5.61E-06
C0162291,1.22E-05
C0162296,1.01E-05
C0162298,8.31E-06
C0162301,6.45E-06
C0162309,1.01E-05
C0162311,2.22E-05
C0162316,2.67E-05
C0162318,4.15E-05
C0162319,8.93E-06
C0162323,1.89E-05
C0162326,0.00062494
C0162327,0.000117052
C0162330,6.08E-06
C0162332,2.13E-05
C0162335,6.00E-06
C0162336,7.41E-06
C0162337,3.48E-05
C0162340,1.07E-05
C0162342,5.95E-06
C0162350,8.56E-06
C0162351,5.70E-06
C0162352,1.30E-05
C0162357,5.58E-06
C0162358,3.67E-05
C0162359,7.52E-06
C0162367,2.03E-05
C0162370,2.05E-05
C0162371,4.79E-05
C0162375,8.18E-06
C0162385,1.02E-05
C0162387,1.10E-05
C0162401,7.31E-06
C0162403,6.50E-06
C0162404,1.03E-05
C0162409,1.35E-05
C0162415,1.56E-05
C0162416,3.38E-05
C0162419,5.64E-06
C0162425,3.92E-05
C0162428,8.24E-06
C0162429,0.000134936
C0162438,7.59E-06
C0162439,5.85E-06
C0162440,5.55E-06
C0162458,6.92E-06
C0162462,1.31E-05
C0162470,9.32E-06
C0162481,1.07E-05
C0162493,0.000223302
C0162502,7.39E-06
C0162508,1.99E-05
C0162512,4.44E-05
C0162513,2.34E-05
C0162514,2.48E-05
C0162518,8.02E-06
C0162522,0.000109276
C0162523,1.04E-05
C0162524,1.07E-05
C0162525,5.89E-06
C0162529,1.75E-05
C0162533,5.75E-06
C0162534,3.00E-05
C0162535,8.15E-06
C0162536,5.74E-06
C0162537,8.38E-06
C0162539,8.03E-06
C0162542,5.56E-06
C0162551,5.85E-06
C0162557,9.60E-05
C0162561,1.46E-05
C0162563,2.50E-05
C0162565,5.56E-06
C0162566,5.41E-06
C0162568,5.80E-06
C0162571,7.68E-06
C0162573,1.40E-05
C0162574,1.54E-05
C0162575,2.41E-05
C0162576,1.19E-05
C0162577,8.15E-05
C0162578,0.000125073
C0162585,1.84E-05
C0162588,6.12E-06
C0162589,2.10E-05
C0162592,2.78E-05
C0162594,7.37E-06
C0162595,3.88E-05
C0162596,1.44E-05
C0162597,5.74E-05
C0162599,2.45E-05
C0162610,3.20E-05
C0162621,1.02E-05
C0162627,5.59E-06
C0162628,1.70E-05
C0162633,0.000176732
C0162635,5.87E-06
C0162638,0.00089544
C0162641,1.08E-05
C0162642,6.53E-06
C0162643,3.78E-05
C0162645,3.58E-05
C0162647,9.42E-06
C0162648,0.000466638
C0162649,2.20E-05
C0162650,5.49E-06
C0162661,6.36E-06
C0162666,6.36E-06
C0162678,6.36E-06
C0162680,6.22E-06
C0162682,5.52E-06
C0162691,1.13E-05
C0162699,2.31E-05
C0162700,1.44E-05
C0162701,2.44E-05
C0162702,3.47E-05
C0162703,2.41E-05
C0162713,1.52E-05
C0162714,1.72E-05
C0162724,5.46E-06
C0162728,7.74E-06
C0162734,1.04E-05
C0162735,2.68E-05
C0162739,9.87E-06
C0162741,3.57E-05
C0162745,2.33E-05
C0162757,9.64E-06
